OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Revenue,Total Unit Cost
136,06-01-2013,28,Wholesale,USD,AXW291,15,5,10,2278,22780,1093.44
137,06-01-2013,46,Wholesale,USD,GUT930,46,11,7,261.3,1829.1,120.198
138,06-01-2013,22,Wholesale,USD,FLR025,65,7,9,998.3,8984.7,698.81
139,06-01-2013,34,Wholesale,USD,AXW291,17,2,6,3497.4,20984.4,1958.544
140,06-01-2013,26,Wholesale,USD,GUT930,36,5,9,1132.3,10190.7,486.889
141,06-01-2013,26,Wholesale,USD,AXW291,8,11,9,2405.3,21647.7,1587.498
142,06-01-2013,24,Distributor,USD,FLR025,66,1,7,5701.7,39911.9,3249.969
143,07-01-2013,18,Distributor,USD,GUT930,45,12,9,2452.2,22069.8,1446.798
144,07-01-2013,21,Wholesale,USD,AXW291,2,5,7,3095.4,21667.8,2012.01
145,07-01-2013,14,Export,USD,GUT930,38,11,9,3865.9,34793.1,2164.904
146,08-01-2013,3,Distributor,USD,AXW291,7,2,7,2304.8,16133.6,1382.88
147,08-01-2013,13,Distributor,USD,AXW291,7,13,10,3195.9,31959,1470.114
148,08-01-2013,49,Wholesale,USD,NXH382,53,2,10,6452.1,64521,5161.68
149,08-01-2013,4,Export,USD,AXW291,19,5,6,2003.3,12019.8,921.518
150,08-01-2013,20,Wholesale,USD,AXW291,4,5,5,3638.1,18190.5,1455.24
151,09-01-2013,19,Export,USD,AXW291,20,5,6,2278,13668,1822.4
152,09-01-2013,25,Distributor,USD,AXW291,26,13,12,924.6,11095.2,582.498
153,09-01-2013,8,Wholesale,USD,AXW291,20,7,11,3926.2,43188.2,3062.436
154,09-01-2013,24,Export,USD,FLR025,63,7,7,3825.7,26779.9,2257.163
155,10-01-2013,13,Wholesale,USD,FLR025,65,7,10,2257.9,22579,1377.319
156,10-01-2013,32,Wholesale,USD,AXW291,27,6,7,1112.2,7785.4,756.296
157,10-01-2013,28,Wholesale,USD,AXW291,19,3,5,3557.7,17788.5,1814.427
158,10-01-2013,8,Distributor,USD,AXW291,11,1,7,2371.8,16602.6,1233.336
159,11-01-2013,47,Wholesale,USD,AXW291,11,2,12,857.6,10291.2,686.08
160,12-01-2013,33,Wholesale,USD,GUT930,43,5,11,3892.7,42819.7,2880.598
161,12-01-2013,26,Distributor,USD,AXW291,28,7,8,3477.3,27818.4,1390.92
162,12-01-2013,20,Distributor,USD,AXW291,28,7,6,3738.6,22431.6,2803.95
163,13-01-2013,6,Wholesale,USD,NXH382,48,7,8,1072,8576,589.6
164,13-01-2013,40,Wholesale,USD,AXW291,22,9,12,2257.9,27094.8,1761.162
165,13-01-2013,23,Distributor,USD,GUT930,42,7,5,1058.6,5293,751.606
166,13-01-2013,38,Wholesale,USD,AXW291,14,9,10,2492.4,24924,1296.048
167,13-01-2013,30,Wholesale,USD,AXW291,13,2,6,3852.5,23115,2465.6
168,13-01-2013,42,Wholesale,USD,GUT930,39,1,11,241.2,2653.2,132.66
169,14-01-2013,1,Distributor,USD,AXW291,6,13,5,1051.9,5259.5,494.393
170,14-01-2013,11,Distributor,USD,AXW291,31,5,8,227.8,1822.4,107.066
171,14-01-2013,4,Wholesale,USD,FLR025,60,7,9,1078.7,9708.3,506.989
172,15-01-2013,6,Wholesale,USD,AXW291,18,7,6,1005,6030,743.7
173,15-01-2013,17,Distributor,USD,NXH382,52,7,6,2485.7,14914.2,1317.421
174,15-01-2013,7,Distributor,USD,AXW291,26,11,10,2659.9,26599,2154.519
175,16-01-2013,1,Wholesale,USD,AXW291,20,7,11,2224.4,24468.4,1579.324
176,16-01-2013,27,Wholesale,USD,FLR025,61,11,8,2472.3,19778.4,1260.873
177,16-01-2013,33,Wholesale,USD,GUT930,42,7,7,1011.7,7081.9,799.243
178,16-01-2013,28,Wholesale,USD,GUT930,42,11,6,234.5,1407,128.975
179,16-01-2013,42,Distributor,USD,AXW291,29,7,8,261.3,2090.4,143.715
180,17-01-2013,5,Export,USD,AXW291,7,1,5,4006.6,20033,2844.686
181,17-01-2013,10,Distributor,USD,GUT930,38,5,6,1333.3,7999.8,866.645
182,17-01-2013,34,Wholesale,USD,GUT930,46,11,5,167.5,837.5,90.45
183,18-01-2013,23,Export,USD,FLR025,61,13,5,3195.9,15979.5,1821.663
184,18-01-2013,18,Wholesale,USD,NXH382,56,3,10,1051.9,10519,809.963
185,19-01-2013,8,Export,USD,AXW291,2,5,9,5447.1,49023.9,3540.615
186,19-01-2013,36,Wholesale,USD,GUT930,36,2,8,3182.5,25460,1973.15
187,19-01-2013,47,Wholesale,USD,FLR025,61,2,5,891.1,4455.5,632.681
188,19-01-2013,27,Export,USD,AXW291,29,13,7,3892.7,27248.9,2724.89
189,19-01-2013,5,Export,USD,GUT930,45,7,9,3953,35577,3360.05
190,19-01-2013,38,Wholesale,USD,GUT930,34,12,9,924.6,8321.4,545.514
191,19-01-2013,21,Distributor,USD,GUT930,34,5,10,3430.4,34304,1989.632
192,20-01-2013,24,Wholesale,USD,AXW291,31,7,8,1152.4,9219.2,622.296
193,20-01-2013,25,Wholesale,USD,AXW291,24,7,5,1085.4,5427,922.59
194,20-01-2013,11,Wholesale,USD,AXW291,27,7,5,5031.7,25158.5,4025.36
195,21-01-2013,17,Wholesale,USD,AXW291,18,7,8,1092.1,8736.8,436.84
196,21-01-2013,5,Export,USD,AXW291,4,7,9,187.6,1688.4,144.452
197,21-01-2013,30,Export,USD,AXW291,17,14,9,3993.2,35938.8,2835.172
198,21-01-2013,9,Export,USD,FLR025,65,5,11,2472.3,27195.3,1433.934
199,21-01-2013,47,Wholesale,USD,AXW291,5,13,11,1206,13266,844.2
200,21-01-2013,5,Distributor,USD,AXW291,26,2,11,1728.6,19014.6,985.302
201,22-01-2013,23,Wholesale,USD,AXW291,25,1,6,1983.2,11899.2,1447.736
202,22-01-2013,14,Wholesale,USD,GUT930,33,7,7,5313.1,37191.7,2656.55
203,22-01-2013,44,Export,USD,AXW291,11,9,11,871,9581,566.15
204,22-01-2013,38,Wholesale,USD,GUT930,32,7,6,2532.6,15195.6,2051.406
205,22-01-2013,14,Wholesale,USD,AXW291,17,13,8,5916.1,47328.8,4673.719
206,22-01-2013,34,Wholesale,USD,GUT930,42,2,7,2887.7,20213.9,1443.85
207,22-01-2013,13,Wholesale,USD,GUT930,36,5,7,1855.9,12991.3,1447.602
208,22-01-2013,5,Distributor,USD,AXW291,11,5,6,207.7,1246.2,135.005
209,23-01-2013,2,Wholesale,USD,FLR025,62,5,6,1058.6,6351.6,772.778
210,23-01-2013,17,Wholesale,USD,GUT930,44,13,10,958.1,9581,517.374
211,23-01-2013,40,Wholesale,USD,GUT930,34,13,9,2659.9,23939.1,1675.737
212,23-01-2013,15,Distributor,USD,AXW291,26,2,12,2217.7,26612.4,1707.629
213,23-01-2013,12,Wholesale,USD,AXW291,8,13,7,1715.2,12006.4,857.6
214,23-01-2013,25,Wholesale,USD,NXH382,52,8,6,3932.9,23597.4,1691.147
215,23-01-2013,13,Distributor,USD,AXW291,31,7,5,2546,12730,1909.5
216,24-01-2013,18,Distributor,USD,NXH382,50,7,5,837.5,4187.5,603
217,24-01-2013,3,Distributor,USD,GUT930,40,11,10,1809,18090,1302.48
218,24-01-2013,25,Distributor,USD,NXH382,55,1,5,857.6,4288,514.56
219,24-01-2013,11,Export,USD,AXW291,2,9,8,1748.7,13989.6,1101.681
220,24-01-2013,44,Distributor,USD,AXW291,14,7,10,1266.3,12663,582.498
221,24-01-2013,30,Wholesale,USD,AXW291,5,5,11,5058.5,55643.5,3591.535
222,25-01-2013,38,Distributor,USD,AXW291,7,9,10,958.1,9581,795.223
223,25-01-2013,47,Export,USD,AXW291,22,9,11,1802.3,19825.3,756.966
224,25-01-2013,17,Wholesale,USD,AXW291,9,11,11,6298,69278,4534.56
225,25-01-2013,28,Wholesale,USD,AXW291,1,11,6,2499.1,14994.6,1824.343
226,25-01-2013,5,Wholesale,USD,GUT930,36,2,8,871,6968,705.51
227,25-01-2013,32,Wholesale,USD,GUT930,44,7,6,750.4,4502.4,360.192
228,25-01-2013,21,Distributor,USD,GUT930,36,2,5,763.8,3819,504.108
229,25-01-2013,49,Export,USD,NXH382,55,2,11,844.2,9286.2,565.614
230,26-01-2013,6,Wholesale,USD,AXW291,6,2,5,261.3,1306.5,112.359
231,26-01-2013,47,Export,USD,AXW291,13,5,8,3999.9,31999.2,2359.941
232,26-01-2013,32,Wholesale,USD,GUT930,45,9,7,1112.2,7785.4,811.906
233,26-01-2013,18,Wholesale,USD,AXW291,30,11,8,2633.1,21064.8,1843.17
234,26-01-2013,8,Distributor,USD,AXW291,24,10,5,1018.4,5092,631.408
235,26-01-2013,24,Distributor,USD,AXW291,10,1,12,5219.3,62631.6,3444.738
236,26-01-2013,11,Export,USD,NXH382,47,7,11,3999.9,43998.9,2359.941
237,27-01-2013,50,Wholesale,USD,FLR025,62,1,10,1721.9,17219,1084.797
238,28-01-2013,7,Wholesale,USD,GUT930,35,5,9,737,6633,456.94
239,28-01-2013,2,Wholesale,USD,AXW291,6,9,9,1219.4,10974.6,695.058
240,28-01-2013,18,Wholesale,USD,NXH382,51,1,6,891.1,5346.6,712.88
241,28-01-2013,28,Wholesale,USD,AXW291,27,2,12,978.2,11738.4,743.432
242,28-01-2013,47,Wholesale,USD,AXW291,31,11,9,3946.3,35516.7,1657.446
243,28-01-2013,27,Wholesale,USD,GUT930,33,7,12,1299.8,15597.6,922.858
244,28-01-2013,21,Distributor,USD,AXW291,14,7,5,5815.6,29078,2791.488
245,29-01-2013,43,Distributor,USD,AXW291,22,2,10,1092.1,10921,655.26
246,29-01-2013,42,Wholesale,USD,AXW291,7,7,7,1072,7504,643.2
247,29-01-2013,34,Wholesale,USD,GUT930,39,9,11,4020,44220,2653.2
248,29-01-2013,37,Wholesale,USD,AXW291,12,7,9,984.9,8864.1,669.732
249,29-01-2013,50,Wholesale,USD,FLR025,62,10,12,227.8,2733.6,100.232
250,29-01-2013,17,Wholesale,USD,AXW291,7,1,11,3993.2,43925.2,3314.356
251,30-01-2013,25,Distributor,USD,AXW291,30,1,10,221.1,2211,185.724
252,30-01-2013,21,Distributor,USD,AXW291,19,11,9,3356.7,30210.3,2819.628
253,30-01-2013,35,Wholesale,USD,NXH382,58,5,6,1701.8,10210.8,1157.224
254,30-01-2013,9,Wholesale,USD,NXH382,50,10,5,2566.1,12830.5,2181.185
255,31-01-2013,22,Wholesale,USD,AXW291,19,8,12,221.1,2653.2,126.027
256,31-01-2013,28,Wholesale,USD,GUT930,45,7,9,1782.2,16039.8,980.21
257,31-01-2013,41,Wholesale,USD,AXW291,17,2,10,2003.3,20033,801.32
258,31-01-2013,28,Wholesale,USD,AXW291,6,7,11,2385.2,26237.2,1502.676
259,01-02-2013,22,Wholesale,USD,AXW291,3,9,11,2231.1,24542.1,1784.88
260,01-02-2013,26,Wholesale,USD,AXW291,22,1,7,1005,7035,412.05
261,01-02-2013,12,Distributor,USD,NXH382,53,6,12,2693.4,32320.8,1939.248
262,01-02-2013,31,Wholesale,USD,AXW291,20,7,8,1105.5,8844,652.245
263,02-02-2013,25,Distributor,USD,AXW291,16,12,9,1909.5,17185.5,1088.415
264,02-02-2013,35,Distributor,USD,GUT930,32,3,8,1118.9,8951.2,850.364
265,03-02-2013,45,Wholesale,USD,AXW291,17,2,10,1038.5,10385,758.105
266,03-02-2013,19,Distributor,USD,AXW291,23,5,6,6324.8,37948.8,4300.864
267,03-02-2013,16,Wholesale,USD,AXW291,3,13,6,1005,6030,502.5
268,03-02-2013,15,Distributor,USD,GUT930,32,2,10,1293.1,12931,659.481
269,03-02-2013,8,Wholesale,USD,AXW291,14,7,5,844.2,4221,540.288
270,04-02-2013,27,Wholesale,USD,NXH382,58,6,8,247.9,1983.2,195.841
271,04-02-2013,12,Wholesale,USD,GUT930,39,1,12,174.2,2090.4,139.36
272,04-02-2013,30,Wholesale,USD,NXH382,50,12,9,1025.1,9225.9,707.319
273,04-02-2013,19,Export,USD,FLR025,62,1,9,3068.6,27617.4,2301.45
274,05-02-2013,44,Distributor,USD,AXW291,22,7,7,241.2,1688.4,115.776
275,05-02-2013,24,Distributor,USD,GUT930,36,7,10,174.2,1742,139.36
276,05-02-2013,10,Export,USD,AXW291,6,13,7,2505.8,17540.6,1804.176
277,05-02-2013,35,Wholesale,USD,GUT930,42,11,11,2599.6,28595.6,1637.748
278,05-02-2013,38,Export,USD,AXW291,28,2,12,2278,27336,1503.48
279,06-02-2013,31,Wholesale,USD,FLR025,64,13,12,1092.1,13105.2,589.734
280,06-02-2013,40,Wholesale,USD,AXW291,8,7,9,1139,10251,933.98
281,06-02-2013,9,Export,USD,FLR025,61,7,11,1675,18425,1072
282,06-02-2013,41,Export,USD,GUT930,41,11,7,1011.7,7081.9,687.956
283,07-02-2013,11,Wholesale,USD,AXW291,23,6,12,938,11256,412.72
284,08-02-2013,48,Distributor,USD,AXW291,10,5,10,2566.1,25661,1052.101
285,08-02-2013,4,Wholesale,USD,GUT930,32,2,12,871,10452,374.53
286,09-02-2013,4,Wholesale,USD,AXW291,15,1,9,2485.7,22371.3,1789.704
287,09-02-2013,40,Distributor,USD,FLR025,66,6,9,2345,21105,1922.9
288,09-02-2013,19,Distributor,USD,AXW291,9,9,12,1118.9,13426.8,749.663
289,10-02-2013,24,Wholesale,USD,AXW291,2,2,7,1996.6,13976.2,1397.62
290,10-02-2013,6,Distributor,USD,AXW291,23,2,6,710.2,4261.2,390.61
291,10-02-2013,6,Export,USD,GUT930,37,10,6,3979.8,23878.8,1790.91
292,10-02-2013,9,Distributor,USD,FLR025,61,11,6,1025.1,6150.6,440.793
293,10-02-2013,3,Distributor,USD,GUT930,36,7,8,2519.2,20153.6,1309.984
294,10-02-2013,36,Wholesale,USD,AXW291,27,11,8,5031.7,40253.6,3471.873
295,10-02-2013,27,Wholesale,USD,NXH382,56,6,10,1829.1,18291,768.222
296,11-02-2013,29,Wholesale,USD,NXH382,55,11,11,1072,11792,900.48
297,11-02-2013,11,Wholesale,USD,GUT930,45,1,10,2539.3,25393,1828.296
298,11-02-2013,24,Distributor,USD,NXH382,48,13,8,3899.4,31195.2,2027.688
299,11-02-2013,38,Wholesale,USD,FLR025,66,5,7,5045.1,35315.7,3380.217
300,11-02-2013,38,Wholesale,USD,AXW291,23,11,11,1005,11055,522.6
301,11-02-2013,20,Wholesale,USD,GUT930,33,2,11,2438.8,26826.8,1219.4
302,12-02-2013,46,Distributor,USD,AXW291,28,7,6,3336.6,20019.6,2035.326
303,12-02-2013,38,Wholesale,USD,GUT930,46,5,6,1098.8,6592.8,857.064
304,12-02-2013,5,Wholesale,USD,AXW291,12,2,11,1902.8,20930.8,970.428
305,12-02-2013,32,Wholesale,USD,AXW291,28,1,11,3477.3,38250.3,2190.699
306,12-02-2013,36,Distributor,USD,GUT930,36,7,10,2599.6,25996,1481.772
307,12-02-2013,1,Wholesale,USD,NXH382,54,10,12,1078.7,12944.4,506.989
308,12-02-2013,22,Distributor,USD,GUT930,36,2,11,1045.2,11497.2,533.052
309,12-02-2013,21,Export,USD,AXW291,29,7,11,1125.6,12381.6,787.92
310,12-02-2013,14,Export,USD,GUT930,34,7,12,1105.5,13266,762.795
311,12-02-2013,50,Export,USD,AXW291,16,9,10,2606.3,26063,1668.032
312,13-02-2013,41,Wholesale,USD,GUT930,41,5,7,227.8,1594.6,95.676
313,13-02-2013,35,Wholesale,USD,GUT930,33,11,8,167.5,1340,123.95
314,13-02-2013,21,Wholesale,USD,GUT930,45,1,6,1145.7,6874.2,538.479
315,13-02-2013,37,Wholesale,USD,NXH382,59,7,7,2599.6,18197.2,2157.668
316,13-02-2013,14,Wholesale,USD,AXW291,25,7,5,3939.6,19698,1969.8
317,13-02-2013,18,Distributor,USD,AXW291,20,7,6,2881,17286,1584.55
318,13-02-2013,22,Distributor,USD,AXW291,20,5,8,3852.5,30820,2003.3
319,13-02-2013,48,Export,USD,AXW291,10,13,7,1139,7973,546.72
320,14-02-2013,7,Distributor,USD,GUT930,35,13,8,2519.2,20153.6,2040.552
321,14-02-2013,33,Distributor,USD,AXW291,15,2,12,1192.6,14311.2,703.634
322,14-02-2013,18,Wholesale,USD,GUT930,39,5,11,2412,26532,1013.04
323,14-02-2013,6,Wholesale,USD,AXW291,24,7,9,2479,22311,2057.57
324,14-02-2013,10,Wholesale,USD,NXH382,58,1,10,1956.4,19564,1330.352
325,15-02-2013,4,Wholesale,USD,GUT930,32,11,9,1078.7,9708.3,722.729
326,15-02-2013,22,Wholesale,USD,AXW291,13,2,11,1212.7,13339.7,945.906
327,15-02-2013,48,Distributor,USD,GUT930,46,1,7,978.2,6847.4,821.688
328,15-02-2013,28,Distributor,USD,NXH382,50,5,10,174.2,1742,120.198
329,16-02-2013,25,Wholesale,USD,GUT930,41,7,5,1125.6,5628,630.336
330,16-02-2013,49,Distributor,USD,NXH382,52,1,8,1065.3,8522.4,468.732
331,16-02-2013,11,Distributor,USD,AXW291,11,7,8,3892.7,31141.6,2724.89
332,16-02-2013,19,Wholesale,USD,NXH382,54,5,5,207.7,1038.5,120.466
333,16-02-2013,20,Wholesale,USD,AXW291,14,2,8,1185.9,9487.2,948.72
334,16-02-2013,15,Export,USD,FLR025,64,13,11,2586.2,28448.2,1629.306
335,17-02-2013,26,Wholesale,USD,AXW291,5,1,10,2579.5,25795,1960.42
336,17-02-2013,7,Distributor,USD,AXW291,5,7,8,6378.4,51027.2,2806.496
337,17-02-2013,26,Wholesale,USD,NXH382,53,13,6,3008.3,18049.8,2226.142
338,17-02-2013,49,Wholesale,USD,AXW291,26,5,8,1755.4,14043.2,930.362
339,17-02-2013,28,Wholesale,USD,AXW291,31,7,8,1139,9112,740.35
340,17-02-2013,46,Distributor,USD,AXW291,8,5,7,6157.3,43101.1,4556.402
341,17-02-2013,33,Export,USD,AXW291,8,14,12,2231.1,26773.2,1093.239
342,17-02-2013,23,Wholesale,USD,AXW291,12,1,9,2479,22311,1859.25
343,17-02-2013,35,Wholesale,USD,AXW291,4,1,11,6391.8,70309.8,4793.85
344,17-02-2013,4,Export,USD,NXH382,48,14,8,1139,9112,660.62
345,18-02-2013,38,Wholesale,USD,GUT930,36,7,8,2586.2,20689.6,1681.03
346,18-02-2013,36,Wholesale,USD,GUT930,38,11,5,3899.4,19497,1871.712
347,19-02-2013,25,Distributor,USD,AXW291,15,1,9,951.4,8562.6,599.382
348,19-02-2013,8,Distributor,USD,GUT930,31,14,9,5607.9,50471.1,3476.898
349,19-02-2013,12,Export,USD,NXH382,50,13,8,1165.8,9326.4,827.718
350,19-02-2013,17,Distributor,USD,NXH382,50,1,12,1949.7,23396.4,1520.766
351,19-02-2013,40,Distributor,USD,AXW291,27,6,9,3685,33165,2690.05
352,20-02-2013,3,Wholesale,USD,FLR025,60,13,8,2633.1,21064.8,1816.839
353,20-02-2013,26,Wholesale,USD,NXH382,50,7,6,1072,6432,460.96
354,20-02-2013,38,Distributor,USD,AXW291,6,11,10,3537.6,35376,1910.304
355,20-02-2013,41,Distributor,USD,GUT930,42,5,11,1092.1,12013.1,622.497
356,21-02-2013,17,Wholesale,USD,NXH382,48,2,9,1748.7,15738.3,1136.655
357,22-02-2013,49,Wholesale,USD,AXW291,2,2,8,891.1,7128.8,739.613
358,22-02-2013,41,Wholesale,USD,AXW291,29,2,5,3082,15410,1510.18
359,22-02-2013,34,Wholesale,USD,AXW291,27,5,5,1125.6,5628,776.664
360,22-02-2013,46,Wholesale,USD,AXW291,19,13,9,1252.9,11276.1,651.508
361,22-02-2013,44,Distributor,USD,FLR025,66,1,11,837.5,9212.5,527.625
362,22-02-2013,21,Wholesale,USD,NXH382,53,13,10,1031.8,10318,773.85
363,22-02-2013,7,Wholesale,USD,GUT930,46,1,10,2385.2,23852,1454.972
364,23-02-2013,48,Distributor,USD,AXW291,28,7,8,1802.3,14418.4,1153.472
365,23-02-2013,40,Distributor,USD,NXH382,49,2,5,1018.4,5092,753.616
366,23-02-2013,35,Wholesale,USD,AXW291,19,14,10,3946.3,39463,1815.298
367,23-02-2013,21,Distributor,USD,AXW291,24,7,6,3953,23718,2095.09
368,24-02-2013,1,Wholesale,USD,AXW291,29,7,10,5098.7,50987,3416.129
369,24-02-2013,9,Export,USD,FLR025,63,2,11,3758.7,41345.7,1954.524
370,24-02-2013,9,Distributor,USD,AXW291,9,2,5,911.2,4556,610.504
371,25-02-2013,26,Wholesale,USD,GUT930,43,2,8,904.5,7236,379.89
372,25-02-2013,21,Wholesale,USD,AXW291,23,6,10,911.2,9112,410.04
373,25-02-2013,6,Wholesale,USD,AXW291,7,7,10,227.8,2278,134.402
374,25-02-2013,14,Distributor,USD,AXW291,13,5,5,254.6,1273,117.116
375,25-02-2013,33,Wholesale,USD,AXW291,6,2,11,683.4,7517.4,444.21
376,25-02-2013,43,Wholesale,USD,AXW291,29,2,7,3919.5,27436.5,2234.115
377,25-02-2013,25,Distributor,USD,FLR025,64,2,10,1092.1,10921,786.312
378,25-02-2013,10,Wholesale,USD,GUT930,36,11,11,924.6,10170.6,536.268
379,25-02-2013,45,Distributor,USD,GUT930,33,7,5,1018.4,5092,794.352
380,26-02-2013,19,Distributor,USD,FLR025,65,1,5,1788.9,8944.5,1305.897
381,26-02-2013,17,Distributor,USD,AXW291,15,7,11,944.7,10391.7,538.479
382,26-02-2013,39,Distributor,USD,AXW291,26,6,6,3959.7,23758.2,2573.805
383,27-02-2013,11,Distributor,USD,AXW291,27,9,12,167.5,2010,70.35
384,27-02-2013,23,Export,USD,AXW291,19,2,8,3872.6,30980.8,1975.026
385,27-02-2013,12,Distributor,USD,GUT930,34,4,5,6539.2,32696,3858.128
386,28-02-2013,44,Wholesale,USD,AXW291,10,1,6,1025.1,6150.6,779.076
387,28-02-2013,31,Wholesale,USD,GUT930,35,11,5,938,4690,572.18
388,28-02-2013,19,Distributor,USD,FLR025,64,9,11,1045.2,11497.2,804.804
389,28-02-2013,20,Export,USD,GUT930,37,11,9,167.5,1507.5,112.225
390,28-02-2013,44,Distributor,USD,FLR025,61,13,5,1721.9,8609.5,1377.52
391,28-02-2013,30,Wholesale,USD,GUT930,44,1,8,676.7,5413.6,466.923
392,28-02-2013,47,Wholesale,USD,AXW291,30,1,12,167.5,2010,82.075
393,28-02-2013,26,Distributor,USD,GUT930,46,13,10,1118.9,11189,895.12
394,28-02-2013,17,Distributor,USD,AXW291,5,13,6,1139,6834,933.98
395,28-02-2013,44,Wholesale,USD,NXH382,50,4,5,1748.7,8743.5,751.941
396,01-03-2013,13,Distributor,USD,NXH382,47,2,11,1728.6,19014.6,1140.876
397,01-03-2013,13,Distributor,USD,GUT930,33,13,5,1112.2,5561,500.49
398,01-03-2013,9,Distributor,USD,AXW291,11,2,11,2385.2,26237.2,1454.972
399,02-03-2013,18,Export,USD,AXW291,15,2,12,221.1,2653.2,172.458
400,02-03-2013,1,Wholesale,USD,AXW291,22,9,6,5708.4,34250.4,2682.948
401,02-03-2013,38,Wholesale,USD,NXH382,52,2,7,1038.5,7269.5,830.8
402,02-03-2013,43,Distributor,USD,AXW291,4,1,7,3993.2,27952.4,3234.492
403,02-03-2013,14,Distributor,USD,GUT930,35,5,12,1085.4,13024.8,792.342
404,03-03-2013,36,Wholesale,USD,NXH382,50,2,11,3886,42746,2020.72
405,03-03-2013,21,Wholesale,USD,NXH382,53,8,6,3986.5,23919,2670.955
406,03-03-2013,41,Wholesale,USD,AXW291,22,11,8,1206,9648,988.92
407,03-03-2013,38,Export,USD,FLR025,65,5,6,1842.5,11055,1050.225
408,03-03-2013,22,Distributor,USD,NXH382,54,5,6,5051.8,30310.8,2930.044
409,03-03-2013,4,Distributor,USD,GUT930,45,7,11,1165.8,12823.8,466.32
410,03-03-2013,21,Wholesale,USD,FLR025,60,3,11,3966.4,43630.4,2340.176
411,03-03-2013,17,Wholesale,USD,NXH382,58,13,9,1802.3,16220.7,1495.909
412,04-03-2013,36,Wholesale,USD,AXW291,28,11,8,1105.5,8844,851.235
413,04-03-2013,16,Wholesale,USD,AXW291,9,5,9,1889.4,17004.6,1398.156
414,05-03-2013,40,Wholesale,USD,FLR025,63,10,6,1018.4,6110.4,661.96
415,05-03-2013,8,Wholesale,USD,NXH382,53,12,12,3865.9,46390.8,2822.107
416,05-03-2013,30,Wholesale,USD,GUT930,46,4,10,998.3,9983,449.235
417,05-03-2013,48,Distributor,USD,AXW291,27,11,6,254.6,1527.6,127.3
